ticket_id,ticket_date,channel,product,issue_type,sentiment,priority,resolution_status,resolution_time_hours,customer_satisfaction
TKT503368,2025-01-03,Social,Mobile App,Card Issue,Negative,High,Pending,33.6,2.6
TKT510323,2025-01-03,Social,Payments,Card Issue,Negative,High,Pending,45.9,2.7
TKT505612,2025-01-03,Phone,Payments,Payment Failed,Positive,Critical,Pending,41.7,5.0
TKT505533,2025-01-03,Chat,Loans,Payment Failed,Negative,Critical,Pending,38.0,2.3
TKT507352,2025-01-03,Chat,Payments,Refund Delay,Neutral,Medium,Resolved,20.9,3.9
TKT500364,2025-01-03,Social,Loans,App Bug,Negative,High,Pending,44.5,2.7
TKT501477,2025-01-03,Email,Payments,Refund Delay,Positive,High,Pending,48.6,3.0
TKT501997,2025-01-03,Email,Account,Card Issue,Positive,Critical,Pending,52.0,3.4
TKT500082,2025-01-04,Chat,Cards,Refund Delay,Negative,High,Pending,40.4,2.0
TKT504104,2025-01-04,Email,Mobile App,Payment Failed,Negative,High,Pending,50.0,2.8
TKT509458,2025-01-04,Email,Mobile App,Login Issue,Neutral,High,Pending,48.6,3.3
TKT503404,2025-01-04,Chat,Account,App Bug,Positive,Medium,Resolved,13.3,5.0
TKT507439,2025-01-04,Social,Mobile App,Card Issue,Negative,Critical,Pending,51.5,2.8
TKT506866,2025-01-04,Phone,Account,Account Access,Positive,High,Pending,32.5,2.8
TKT500778,2025-01-04,Email,Payments,Login Issue,Negative,Medium,Pending,39.0,2.2
TKT500929,2025-01-04,Phone,Payments,Account Access,Neutral,High,Pending,31.2,4.0
TKT505720,2025-01-04,Phone,Mobile App,App Bug,Negative,High,Pending,31.7,2.7
TKT501307,2025-01-04,Chat,Account,Payment Failed,Positive,Critical,Pending,39.4,3.6
TKT501336,2025-01-04,Email,Cards,Payment Failed,Neutral,Medium,Pending,35.2,3.8
TKT510333,2025-01-04,Chat,Mobile App,Payment Failed,Neutral,Low,Pending,44.9,4.1
TKT501658,2025-01-04,Chat,Loans,App Bug,Positive,Medium,Resolved,19.2,2.9
TKT501838,2025-01-04,Chat,Payments,Login Issue,Neutral,Medium,Resolved,20.0,3.3
TKT502984,2025-01-04,Social,Loans,Refund Delay,Negative,High,Pending,31.6,2.3
TKT501981,2025-01-04,Chat,Payments,Login Issue,Positive,High,Pending,32.8,3.8
TKT505270,2025-01-04,Chat,Mobile App,Card Issue,Negative,Low,Resolved,13.5,2.7
TKT506776,2025-01-04,Chat,Payments,Card Issue,Negative,High,Pending,32.0,2.6
TKT510659,2025-01-04,Chat,Account,Refund Delay,Positive,High,Pending,32.1,4.3
TKT502768,2025-01-04,Social,Loans,Refund Delay,Negative,Medium,Resolved,25.3,3.0
TKT504697,2025-01-04,Chat,Cards,Payment Failed,Negative,High,Pending,30.0,3.0
TKT507836,2025-01-04,Phone,Mobile App,Card Issue,Neutral,Medium,Pending,33.0,3.3
TKT510468,2025-01-04,Chat,Loans,Account Access,Negative,Low,Resolved,17.5,2.8
TKT510453,2025-01-05,Email,Payments,Loan Query,Positive,High,Pending,49.6,3.1
TKT510869,2025-01-05,Email,Account,Loan Query,Negative,Medium,Pending,34.3,2.2
TKT505419,2025-01-05,Email,Cards,Payment Failed,Negative,High,Pending,39.0,3.0
TKT505035,2025-01-05,Phone,Payments,Payment Failed,Positive,High,Resolved,28.5,4.3
TKT504869,2025-01-05,Email,Payments,Payment Failed,Negative,Low,Pending,40.1,2.0
TKT504707,2025-01-05,Email,Account,Loan Query,Neutral,Medium,Escalated,59.1,3.6
TKT500871,2025-01-05,Social,Payments,Refund Delay,Positive,Medium,Resolved,26.6,4.4
TKT504068,2025-01-05,Email,Mobile App,Payment Failed,Neutral,Critical,Pending,51.0,3.5
TKT509013,2025-01-05,Chat,Payments,Card Issue,Negative,Medium,Resolved,27.1,2.6
TKT500405,2025-01-05,Phone,Payments,Loan Query,Negative,Low,Resolved,29.9,2.9
TKT502803,2025-01-05,Phone,Payments,Card Issue,Negative,Low,Resolved,21.4,2.6
TKT502432,2025-01-05,Email,Account,App Bug,Positive,Medium,Pending,46.0,4.1
TKT502371,2025-01-05,Chat,Account,Card Issue,Negative,Low,Pending,31.6,3.0
TKT501969,2025-01-05,Social,Payments,Card Issue,Negative,Low,Resolved,29.2,2.9
TKT501817,2025-01-05,Chat,Mobile App,Login Issue,Neutral,High,Resolved,22.0,3.8
TKT502802,2025-01-05,Chat,Payments,App Bug,Positive,Medium,Resolved,20.7,3.3
TKT509171,2025-01-05,Phone,Payments,Account Access,Positive,Low,Resolved,22.4,3.4
TKT501378,2025-01-05,Chat,Account,App Bug,Negative,High,Resolved,29.5,3.3
TKT509636,2025-01-05,Chat,Account,Refund Delay,Negative,High,Pending,34.1,2.8
TKT511139,2025-01-05,Chat,Payments,Refund Delay,Neutral,High,Resolved,23.6,2.9
TKT500937,2025-01-05,Chat,Mobile App,App Bug,Positive,Low,Pending,31.1,3.8
TKT500925,2025-01-05,Social,Account,Payment Failed,Negative,High,Pending,34.6,2.5
TKT509676,2025-01-05,Phone,Payments,Login Issue,Negative,High,Resolved,28.0,2.5
TKT505674,2025-01-06,Chat,Payments,Login Issue,Positive,High,Resolved,25.1,3.7
TKT501168,2025-01-06,Phone,Mobile App,Login Issue,Neutral,Low,Resolved,28.3,3.8
TKT506665,2025-01-06,Phone,Cards,Login Issue,Positive,Medium,Resolved,21.3,3.2
TKT505493,2025-01-06,Phone,Payments,Login Issue,Neutral,High,Resolved,28.5,3.8
TKT502021,2025-01-06,Chat,Account,Loan Query,Negative,Medium,Resolved,14.9,2.3
TKT511607,2025-01-06,Chat,Cards,Card Issue,Neutral,High,Resolved,24.5,4.1
TKT502335,2025-01-06,Phone,Mobile App,Payment Failed,Negative,Low,Pending,31.1,2.7
TKT500260,2025-01-06,Email,Mobile App,Payment Failed,Negative,Low,Pending,36.1,2.4
TKT509110,2025-01-06,Social,Cards,App Bug,Negative,Low,Pending,42.9,2.1
TKT510599,2025-01-06,Phone,Cards,App Bug,Neutral,Low,Pending,33.6,2.7
TKT500395,2025-01-06,Phone,Mobile App,Payment Failed,Neutral,Medium,Pending,32.7,4.3
TKT511499,2025-01-06,Phone,Payments,Payment Failed,Neutral,Low,Resolved,24.9,4.4
TKT500045,2025-01-06,Phone,Payments,Card Issue,Positive,Low,Pending,33.1,4.0
TKT503130,2025-01-06,Social,Payments,Login Issue,Negative,Medium,Pending,35.2,3.1
TKT509807,2025-01-06,Social,Mobile App,Payment Failed,Negative,Critical,Pending,37.0,3.3
TKT507302,2025-01-06,Email,Mobile App,Loan Query,Positive,Medium,Pending,36.1,3.8
TKT507244,2025-01-06,Phone,Mobile App,Card Issue,Negative,Low,Resolved,22.5,3.2
TKT503588,2025-01-06,Chat,Mobile App,App Bug,Positive,High,Resolved,25.3,3.0
TKT504179,2025-01-06,Social,Account,Payment Failed,Negative,High,Pending,34.9,1.9
TKT500102,2025-01-06,Phone,Loans,Loan Query,Positive,High,Pending,44.8,4.3
TKT510813,2025-01-06,Chat,Payments,Account Access,Neutral,High,Pending,37.8,4.0
TKT504098,2025-01-07,Chat,Payments,Loan Query,Neutral,Critical,Pending,36.2,3.5
TKT508624,2025-01-07,Phone,Cards,Card Issue,Neutral,High,Pending,32.4,4.5
TKT507201,2025-01-07,Chat,Payments,Login Issue,Negative,High,Resolved,29.6,3.6
TKT510320,2025-01-07,Social,Payments,Card Issue,Neutral,Medium,Pending,34.7,4.3
TKT509295,2025-01-07,Phone,Payments,Login Issue,Positive,Medium,Pending,30.0,3.9
TKT503037,2025-01-07,Chat,Payments,Payment Failed,Neutral,Critical,Resolved,26.7,3.3
TKT502462,2025-01-07,Email,Payments,Refund Delay,Positive,Medium,Pending,49.0,3.1
TKT502136,2025-01-07,Chat,Mobile App,Card Issue,Neutral,High,Pending,30.6,3.8
TKT502894,2025-01-07,Phone,Account,Account Access,Positive,Medium,Resolved,21.7,4.0
TKT504796,2025-01-07,Phone,Payments,Card Issue,Positive,Medium,Pending,37.6,4.6
TKT504044,2025-01-07,Chat,Cards,App Bug,Negative,Low,Pending,32.8,2.0
TKT508469,2025-01-07,Phone,Mobile App,Card Issue,Positive,Medium,Resolved,23.5,3.9
TKT504457,2025-01-07,Phone,Mobile App,Card Issue,Positive,High,Pending,30.3,3.6
TKT511567,2025-01-07,Chat,Payments,Card Issue,Positive,High,Pending,44.4,3.8
TKT502999,2025-01-07,Phone,Mobile App,Card Issue,Negative,Medium,Pending,33.2,2.1
TKT504394,2025-01-07,Phone,Mobile App,Login Issue,Neutral,Low,Pending,38.7,4.1
TKT502329,2025-01-07,Email,Loans,App Bug,Negative,High,Pending,41.2,2.4
TKT509955,2025-01-07,Phone,Cards,Refund Delay,Neutral,Medium,Resolved,22.3,4.5
TKT506675,2025-01-07,Social,Account,App Bug,Positive,Low,Resolved,24.1,3.6
TKT507267,2025-01-07,Chat,Mobile App,Login Issue,Negative,High,Pending,44.5,3.2
TKT508591,2025-01-08,Phone,Mobile App,App Bug,Positive,High,Pending,44.2,3.8
TKT506944,2025-01-08,Email,Loans,Payment Failed,Positive,Low,Escalated,56.1,4.2
TKT509168,2025-01-08,Chat,Mobile App,Refund Delay,Neutral,High,Pending,33.8,3.6
TKT507053,2025-01-08,Chat,Loans,Login Issue,Neutral,Medium,Resolved,21.0,4.6
TKT500385,2025-01-08,Phone,Payments,Refund Delay,Negative,Low,Resolved,24.0,2.5
TKT507833,2025-01-08,Email,Account,Loan Query,Positive,Medium,Pending,40.2,4.1
TKT506467,2025-01-08,Chat,Payments,Card Issue,Positive,Critical,Pending,35.2,3.5
TKT510742,2025-01-08,Chat,Cards,Refund Delay,Neutral,Low,Resolved,23.3,3.5
TKT501428,2025-01-08,Chat,Cards,Loan Query,Neutral,High,Pending,38.2,3.7
TKT503655,2025-01-08,Social,Payments,Login Issue,Neutral,High,Pending,49.4,3.7
TKT503329,2025-01-08,Phone,Payments,App Bug,Negative,High,Pending,39.4,1.7
TKT505913,2025-01-08,Phone,Cards,Payment Failed,Neutral,Critical,Pending,40.2,3.7
TKT511459,2025-01-08,Social,Account,Card Issue,Neutral,Low,Resolved,23.8,4.3
TKT506278,2025-01-08,Social,Loans,Refund Delay,Negative,Medium,Resolved,25.7,2.0
TKT505968,2025-01-08,Social,Loans,Card Issue,Positive,High,Pending,33.8,3.6
TKT510188,2025-01-08,Chat,Loans,Login Issue,Positive,Medium,Resolved,18.8,4.0
TKT511978,2025-01-08,Phone,Account,Payment Failed,Negative,High,Resolved,28.6,3.3
TKT500525,2025-01-08,Chat,Payments,Card Issue,Positive,Medium,Resolved,21.3,4.3
TKT507728,2025-01-09,Phone,Cards,App Bug,Negative,Medium,Resolved,29.2,2.6
TKT507609,2025-01-09,Chat,Mobile App,Login Issue,Neutral,Medium,Resolved,19.5,3.7
TKT502968,2025-01-09,Chat,Payments,Refund Delay,Negative,Low,Resolved,18.0,2.4
TKT511788,2025-01-09,Phone,Payments,Payment Failed,Positive,Low,Pending,40.9,4.1
TKT507509,2025-01-09,Phone,Mobile App,Payment Failed,Positive,Medium,Pending,33.2,3.8
TKT511494,2025-01-09,Chat,Cards,Loan Query,Positive,Low,Resolved,23.2,4.3
TKT511525,2025-01-09,Chat,Mobile App,Login Issue,Neutral,Low,Resolved,17.1,4.4
TKT507343,2025-01-09,Chat,Account,Refund Delay,Negative,Low,Resolved,14.7,2.9
TKT500261,2025-01-09,Chat,Loans,Loan Query,Neutral,High,Pending,37.7,3.6
TKT504024,2025-01-09,Phone,Mobile App,App Bug,Neutral,High,Pending,30.9,3.7
TKT510932,2025-01-09,Social,Account,Card Issue,Negative,High,Pending,36.8,1.9
TKT509366,2025-01-09,Email,Cards,Login Issue,Negative,High,Escalated,87.0,1.4
TKT500523,2025-01-09,Chat,Loans,Loan Query,Positive,High,Resolved,21.8,4.2
TKT510197,2025-01-09,Email,Payments,App Bug,Neutral,High,Pending,44.0,3.5
TKT506901,2025-01-09,Social,Mobile App,Login Issue,Negative,Medium,Resolved,26.1,2.1
TKT500983,2025-01-09,Email,Cards,Login Issue,Negative,Low,Pending,45.1,3.0
TKT506622,2025-01-09,Phone,Cards,Login Issue,Negative,Low,Resolved,26.3,2.7
TKT500928,2025-01-09,Email,Mobile App,Refund Delay,Negative,High,Pending,44.7,3.2
TKT508797,2025-01-09,Email,Loans,Card Issue,Negative,High,Pending,44.5,2.0
TKT505825,2025-01-09,Email,Payments,Payment Failed,Neutral,Critical,Pending,51.3,3.1
TKT509097,2025-01-09,Email,Payments,Account Access,Positive,Low,Pending,35.6,3.2
TKT504310,2025-01-09,Chat,Payments,App Bug,Positive,Medium,Pending,33.8,4.2
TKT504865,2025-01-09,Chat,Mobile App,Refund Delay,Negative,High,Pending,31.8,3.1
TKT505287,2025-01-09,Chat,Cards,Login Issue,Negative,Medium,Resolved,26.3,2.6
TKT506707,2025-01-09,Email,Account,Payment Failed,Neutral,Critical,Pending,47.3,3.2
TKT507894,2025-01-10,Social,Payments,Payment Failed,Negative,Medium,Resolved,26.9,3.3
TKT508073,2025-01-10,Email,Loans,Refund Delay,Positive,High,Escalated,58.5,2.9
TKT502703,2025-01-10,Phone,Cards,Payment Failed,Neutral,Critical,Pending,39.8,3.1
TKT502561,2025-01-10,Chat,Mobile App,App Bug,Negative,High,Pending,35.3,1.6
TKT508431,2025-01-10,Email,Account,Payment Failed,Neutral,Critical,Escalated,63.9,2.5
TKT511964,2025-01-10,Phone,Loans,Payment Failed,Negative,Critical,Pending,37.5,1.7
TKT500939,2025-01-10,Phone,Mobile App,Login Issue,Neutral,Medium,Pending,39.7,4.0
TKT501584,2025-01-10,Chat,Payments,Login Issue,Neutral,High,Resolved,21.1,4.3
TKT511781,2025-01-10,Email,Loans,Payment Failed,Neutral,Medium,Pending,41.2,4.2
TKT500775,2025-01-10,Chat,Loans,Login Issue,Negative,High,Resolved,27.8,2.7
TKT503396,2025-01-10,Email,Account,Card Issue,Positive,Critical,Pending,46.2,3.8
TKT505999,2025-01-10,Phone,Account,Account Access,Negative,High,Resolved,28.9,2.5
TKT504126,2025-01-10,Email,Cards,App Bug,Positive,Medium,Pending,38.2,3.7
TKT506736,2025-01-10,Email,Account,Card Issue,Negative,Medium,Pending,39.9,2.6
TKT503199,2025-01-10,Social,Mobile App,Login Issue,Negative,Medium,Resolved,24.8,2.8
TKT503275,2025-01-10,Social,Mobile App,Card Issue,Negative,Low,Pending,30.3,1.9
TKT511192,2025-01-10,Chat,Payments,Loan Query,Neutral,High,Resolved,29.4,3.7
TKT511146,2025-01-10,Chat,Payments,Payment Failed,Negative,High,Resolved,26.8,2.4
TKT504001,2025-01-10,Email,Loans,Login Issue,Negative,High,Pending,43.8,3.6
TKT508879,2025-01-10,Chat,Payments,Login Issue,Positive,Medium,Resolved,25.3,3.2
TKT504552,2025-01-10,Social,Payments,Login Issue,Negative,High,Pending,41.1,2.1
TKT504331,2025-01-10,Phone,Payments,Login Issue,Negative,Medium,Pending,54.7,2.1
TKT510829,2025-01-10,Email,Cards,Login Issue,Neutral,Low,Pending,37.2,4.4
TKT507100,2025-01-10,Chat,Payments,Refund Delay,Positive,High,Resolved,22.7,3.0
TKT506614,2025-01-11,Phone,Mobile App,Card Issue,Neutral,Medium,Resolved,22.0,3.4
TKT504836,2025-01-11,Email,Payments,Card Issue,Positive,High,Pending,49.6,3.6
TKT504739,2025-01-11,Email,Cards,Payment Failed,Neutral,Low,Pending,38.8,3.5
TKT506836,2025-01-11,Social,Mobile App,Card Issue,Positive,High,Pending,33.6,3.4
TKT507977,2025-01-11,Chat,Account,Loan Query,Neutral,Medium,Resolved,16.6,3.8
TKT502914,2025-01-11,Email,Loans,Payment Failed,Neutral,Medium,Pending,37.3,4.1
TKT502117,2025-01-11,Chat,Payments,Login Issue,Negative,High,Pending,42.7,3.0
TKT502338,2025-01-11,Chat,Payments,Refund Delay,Positive,Medium,Resolved,24.9,4.3
TKT503455,2025-01-11,Email,Account,Login Issue,Neutral,Medium,Pending,34.7,4.2
TKT507353,2025-01-11,Phone,Mobile App,Login Issue,Negative,Low,Resolved,21.3,2.4
TKT502531,2025-01-11,Chat,Cards,App Bug,Positive,Low,Resolved,13.2,3.4
TKT503144,2025-01-11,Social,Payments,Login Issue,Negative,High,Pending,35.3,1.9
TKT502791,2025-01-11,Social,Mobile App,Login Issue,Neutral,High,Pending,34.9,4.4
TKT504130,2025-01-11,Social,Cards,Login Issue,Neutral,Low,Resolved,27.6,3.3
TKT506422,2025-01-11,Social,Account,Payment Failed,Positive,High,Pending,30.0,4.4
TKT506583,2025-01-11,Email,Account,Account Access,Neutral,Medium,Pending,47.1,3.7
TKT509980,2025-01-11,Chat,Cards,App Bug,Neutral,High,Resolved,24.0,3.2
TKT511259,2025-01-11,Phone,Account,Payment Failed,Negative,High,Pending,35.5,2.9
TKT510211,2025-01-11,Social,Loans,Account Access,Neutral,High,Pending,47.4,3.6
TKT511115,2025-01-11,Chat,Cards,Refund Delay,Positive,Low,Resolved,23.6,3.6
TKT510112,2025-01-11,Email,Account,Payment Failed,Neutral,Low,Pending,43.6,3.7
TKT509143,2025-01-11,Email,Loans,Login Issue,Negative,High,Escalated,56.3,2.8
TKT509438,2025-01-11,Chat,Mobile App,Loan Query,Positive,High,Resolved,20.7,3.9
TKT511724,2025-01-11,Phone,Payments,Card Issue,Neutral,High,Resolved,28.2,3.7
TKT500193,2025-01-11,Email,Payments,Card Issue,Neutral,Medium,Pending,41.9,4.1
TKT510548,2025-01-11,Chat,Mobile App,Payment Failed,Negative,High,Pending,34.0,1.5
TKT510289,2025-01-11,Phone,Cards,Refund Delay,Negative,High,Pending,53.9,2.0
TKT511475,2025-01-11,Phone,Account,Payment Failed,Negative,Critical,Pending,38.5,2.8
TKT510814,2025-01-11,Chat,Account,Card Issue,Neutral,Medium,Resolved,13.9,2.8
TKT511397,2025-01-12,Chat,Mobile App,Card Issue,Positive,Low,Resolved,13.7,3.3
TKT508070,2025-01-12,Chat,Loans,Loan Query,Negative,Critical,Resolved,29.9,1.9
TKT509836,2025-01-12,Chat,Payments,Refund Delay,Neutral,Medium,Resolved,19.1,3.6
TKT508023,2025-01-12,Email,Loans,Payment Failed,Neutral,High,Pending,47.6,3.1
TKT507997,2025-01-12,Chat,Account,Payment Failed,Negative,High,Pending,30.2,2.4
TKT503462,2025-01-12,Phone,Mobile App,Login Issue,Negative,High,Pending,38.2,2.8
TKT509349,2025-01-12,Chat,Loans,Payment Failed,Neutral,Medium,Resolved,15.7,4.2
TKT511870,2025-01-12,Chat,Cards,Payment Failed,Neutral,Critical,Resolved,28.3,3.9
TKT503023,2025-01-12,Email,Mobile App,Login Issue,Positive,Low,Pending,33.2,3.6
TKT511127,2025-01-12,Phone,Account,Refund Delay,Negative,Low,Resolved,24.0,2.8
TKT505490,2025-01-12,Chat,Account,Account Access,Positive,Low,Resolved,16.2,3.7
TKT502523,2025-01-12,Phone,Payments,Payment Failed,Neutral,Medium,Resolved,21.7,4.8
TKT504733,2025-01-12,Email,Loans,Refund Delay,Negative,High,Pending,39.9,2.6
TKT510797,2025-01-12,Email,Mobile App,App Bug,Negative,High,Pending,47.9,2.7
TKT511466,2025-01-12,Phone,Payments,Refund Delay,Positive,Medium,Resolved,19.0,3.3
TKT507720,2025-01-12,Chat,Payments,Login Issue,Positive,High,Resolved,24.1,3.8
TKT510570,2025-01-12,Email,Cards,Login Issue,Positive,Medium,Pending,39.2,2.1
TKT500478,2025-01-12,Phone,Payments,Login Issue,Positive,Critical,Escalated,58.7,3.0
TKT511016,2025-01-12,Email,Account,Login Issue,Neutral,Low,Pending,45.2,3.6
TKT502612,2025-01-12,Email,Mobile App,Payment Failed,Neutral,Medium,Escalated,56.2,2.5
TKT508958,2025-01-12,Email,Mobile App,Payment Failed,Neutral,High,Pending,46.7,3.3
TKT501802,2025-01-12,Chat,Payments,Login Issue,Neutral,Medium,Resolved,18.6,3.8
TKT501826,2025-01-12,Phone,Mobile App,Payment Failed,Neutral,Critical,Pending,50.1,3.2
TKT510566,2025-01-12,Email,Cards,Card Issue,Positive,Medium,Pending,48.7,3.9
TKT503236,2025-01-13,Email,Mobile App,Refund Delay,Positive,Critical,Pending,48.6,4.9
TKT502239,2025-01-13,Email,Account,Account Access,Neutral,Low,Escalated,67.7,3.7
TKT500383,2025-01-13,Phone,Account,Refund Delay,Positive,Medium,Pending,48.7,3.9
TKT507923,2025-01-13,Chat,Loans,Payment Failed,Negative,High,Resolved,26.2,2.7
TKT511534,2025-01-13,Email,Cards,Refund Delay,Positive,Medium,Pending,41.1,3.0
TKT508376,2025-01-13,Chat,Cards,Card Issue,Neutral,High,Pending,33.4,3.3
TKT506881,2025-01-13,Email,Cards,Payment Failed,Negative,High,Pending,38.7,3.3
TKT509558,2025-01-13,Email,Loans,Loan Query,Positive,Medium,Pending,46.8,3.0
TKT505930,2025-01-13,Phone,Loans,Payment Failed,Neutral,Critical,Pending,43.8,4.2
TKT505792,2025-01-13,Email,Loans,Account Access,Positive,Medium,Pending,35.6,4.4
TKT504456,2025-01-13,Phone,Mobile App,Account Access,Positive,Medium,Pending,31.4,3.1
TKT511988,2025-01-13,Email,Account,Card Issue,Positive,Medium,Pending,40.1,3.5
TKT510735,2025-01-13,Chat,Payments,Login Issue,Negative,Medium,Resolved,18.6,2.5
TKT508828,2025-01-13,Chat,Mobile App,Payment Failed,Neutral,Critical,Resolved,28.0,4.3
TKT510470,2025-01-13,Chat,Mobile App,Loan Query,Positive,Medium,Resolved,21.5,4.3
TKT505581,2025-01-13,Chat,Payments,Card Issue,Positive,Medium,Resolved,17.5,3.7
TKT509721,2025-01-13,Chat,Cards,Payment Failed,Neutral,Critical,Resolved,26.8,4.2
TKT503342,2025-01-13,Chat,Loans,Payment Failed,Positive,Critical,Pending,31.9,4.3
TKT510315,2025-01-13,Chat,Loans,Card Issue,Negative,High,Resolved,19.8,1.3
TKT505386,2025-01-14,Social,Mobile App,Card Issue,Negative,High,Pending,32.3,3.3
TKT506693,2025-01-14,Social,Account,App Bug,Neutral,Low,Resolved,22.9,3.6
TKT511238,2025-01-14,Chat,Payments,App Bug,Negative,Critical,Pending,30.4,2.9
TKT508601,2025-01-14,Phone,Cards,Card Issue,Negative,Medium,Pending,32.5,3.2
TKT505325,2025-01-14,Phone,Payments,Payment Failed,Neutral,Medium,Pending,35.4,3.6
TKT503979,2025-01-14,Chat,Mobile App,Refund Delay,Neutral,High,Resolved,26.9,3.2
TKT500678,2025-01-14,Phone,Loans,Card Issue,Positive,Medium,Resolved,28.9,3.7
TKT500013,2025-01-14,Email,Cards,Login Issue,Neutral,High,Pending,41.2,4.9
TKT501265,2025-01-14,Chat,Payments,Payment Failed,Negative,High,Resolved,26.2,2.6
TKT501758,2025-01-14,Social,Mobile App,Refund Delay,Neutral,Critical,Pending,37.7,3.7
TKT509979,2025-01-14,Chat,Payments,Login Issue,Negative,High,Resolved,21.8,1.8
